activity_id,assay_chembl_id,document_chembl_id,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value
328342,CHEMBL677388,CHEMBL1135889,CHEMBL533849,IC50,nM,500.0,IC50,uM,0.5
328344,CHEMBL691873,CHEMBL1135889,CHEMBL533849,IC50,nM,170.0,IC50,uM,0.17
328373,CHEMBL677388,CHEMBL1135889,CHEMBL1907944,IC50,nM,100.0,IC50,uM,0.1
328375,CHEMBL691873,CHEMBL1135889,CHEMBL1907944,IC50,nM,150.0,IC50,uM,0.15
328640,CHEMBL677206,CHEMBL1129933,CHEMBL336409,IC50,nM,900.0,IC50,uM,0.9
328646,CHEMBL677383,CHEMBL1129933,CHEMBL336409,IC50,nM,4200.0,IC50,uM,4.2
329281,CHEMBL679946,CHEMBL1127568,CHEMBL303872,IC50,nM,20000.0,IC50,uM,20.0
329283,CHEMBL679946,CHEMBL1127568,CHEMBL302491,IC50,nM,20000.0,IC50,uM,20.0
329341,CHEMBL679946,CHEMBL1127568,CHEMBL304333,IC50,nM,20000.0,IC50,uM,20.0
329343,CHEMBL679946,CHEMBL1127568,CHEMBL66924,IC50,nM,20000.0,IC50,uM,20.0
329898,CHEMBL677206,CHEMBL1129933,CHEMBL342929,IC50,nM,6900.0,IC50,uM,6.9
329906,CHEMBL677206,CHEMBL1129933,CHEMBL135577,IC50,nM,4600.0,IC50,uM,4.6
330466,CHEMBL679946,CHEMBL1127568,CHEMBL419248,IC50,nM,20000.0,IC50,uM,20.0
330534,CHEMBL679946,CHEMBL1127568,CHEMBL66932,IC50,nM,20000.0,IC50,uM,20.0
330793,CHEMBL676067,CHEMBL1136802,CHEMBL115519,IC50,nM,83176.38,pIC50,,4.08
330795,CHEMBL676067,CHEMBL1136802,CHEMBL119156,IC50,nM,3388.44,pIC50,,5.47
330797,CHEMBL676067,CHEMBL1136802,CHEMBL119987,IC50,nM,707.95,pIC50,,6.15
330799,CHEMBL676067,CHEMBL1136802,CHEMBL54471,IC50,nM,15135.61,pIC50,,4.82
330836,CHEMBL677388,CHEMBL1135889,CHEMBL1744347,IC50,nM,75.0,IC50,uM,0.075
330838,CHEMBL691873,CHEMBL1135889,CHEMBL1744347,IC50,nM,100.0,IC50,uM,0.1
331168,CHEMBL677206,CHEMBL1129933,CHEMBL334915,IC50,nM,3500.0,IC50,uM,3.5
331829,CHEMBL679946,CHEMBL1127568,CHEMBL66063,IC50,nM,20000.0,IC50,uM,20.0
331831,CHEMBL679946,CHEMBL1127568,CHEMBL69820,IC50,nM,20000.0,IC50,uM,20.0
332153,CHEMBL676067,CHEMBL1136802,CHEMBL55979,IC50,nM,2511.89,pIC50,,5.6
332171,CHEMBL677388,CHEMBL1135889,CHEMBL25610,IC50,nM,400.0,IC50,uM,0.4
332173,CHEMBL691873,CHEMBL1135889,CHEMBL25610,IC50,nM,300.0,IC50,uM,0.3
332492,CHEMBL677206,CHEMBL1129933,CHEMBL137422,IC50,nM,6100.0,IC50,uM,6.1
333312,CHEMBL679946,CHEMBL1127568,CHEMBL66643,IC50,nM,20000.0,IC50,uM,20.0
333315,CHEMBL679946,CHEMBL1127568,CHEMBL66981,IC50,nM,20000.0,IC50,uM,20.0
333587,CHEMBL676067,CHEMBL1136802,CHEMBL141238,IC50,nM,19054.61,pIC50,,4.72
333903,CHEMBL677206,CHEMBL1129933,CHEMBL336174,IC50,nM,7400.0,IC50,uM,7.4
333913,CHEMBL677383,CHEMBL1129933,CHEMBL336174,IC50,nM,100000.0,IC50,uM,100.0
334584,CHEMBL679946,CHEMBL1127568,CHEMBL67424,IC50,nM,20000.0,IC50,uM,20.0
334586,CHEMBL679946,CHEMBL1127568,CHEMBL68401,IC50,nM,20000.0,IC50,uM,20.0
334917,CHEMBL677388,CHEMBL1135889,CHEMBL26641,IC50,nM,200.0,IC50,uM,0.2
334919,CHEMBL691873,CHEMBL1135889,CHEMBL26641,IC50,nM,80.0,IC50,uM,0.08
335194,CHEMBL677206,CHEMBL1129933,CHEMBL334439,IC50,nM,6900.0,IC50,uM,6.9
335757,CHEMBL679946,CHEMBL1127568,CHEMBL66612,IC50,nM,20000.0,IC50,uM,20.0
335759,CHEMBL679946,CHEMBL1127568,CHEMBL66502,IC50,nM,20000.0,IC50,uM,20.0
335761,CHEMBL679946,CHEMBL1127568,CHEMBL66101,IC50,nM,20000.0,IC50,uM,20.0
335845,CHEMBL679946,CHEMBL1127568,CHEMBL66329,IC50,nM,20000.0,IC50,uM,20.0
335847,CHEMBL679946,CHEMBL1127568,CHEMBL67702,IC50,nM,20000.0,IC50,uM,20.0
335849,CHEMBL679946,CHEMBL1127568,CHEMBL304310,IC50,nM,20000.0,IC50,uM,20.0
336075,CHEMBL676067,CHEMBL1136802,CHEMBL59145,IC50,nM,6606.93,pIC50,,5.18
336077,CHEMBL676067,CHEMBL1136802,CHEMBL118109,IC50,nM,19054.61,pIC50,,4.72
336079,CHEMBL673947,CHEMBL1136802,CHEMBL343875,IC50,nM,165958.69,pIC50,,3.78
336398,CHEMBL677206,CHEMBL1129933,CHEMBL334973,IC50,nM,100000.0,IC50,uM,100.0
337074,CHEMBL679946,CHEMBL1127568,CHEMBL66008,IC50,nM,20000.0,IC50,uM,20.0
337412,CHEMBL677388,CHEMBL1135889,CHEMBL279459,IC50,nM,450.0,IC50,uM,0.45
337414,CHEMBL691873,CHEMBL1135889,CHEMBL279459,IC50,nM,400.0,IC50,uM,0.4
337665,CHEMBL677206,CHEMBL1129933,CHEMBL135241,IC50,nM,50000.0,IC50,uM,50.0
338292,CHEMBL679946,CHEMBL1127568,CHEMBL65858,IC50,nM,20000.0,IC50,uM,20.0
338661,CHEMBL676067,CHEMBL1136802,CHEMBL55994,IC50,nM,30902.95,pIC50,,4.51
338663,CHEMBL676067,CHEMBL1136802,CHEMBL334032,IC50,nM,22908.68,pIC50,,4.64
338669,CHEMBL677388,CHEMBL1135889,CHEMBL1202473,IC50,nM,300.0,IC50,uM,0.3
338671,CHEMBL691873,CHEMBL1135889,CHEMBL1202473,IC50,nM,200.0,IC50,uM,0.2
338676,CHEMBL677388,CHEMBL1135889,CHEMBL25425,IC50,nM,300.0,IC50,uM,0.3
338678,CHEMBL691873,CHEMBL1135889,CHEMBL25425,IC50,nM,200.0,IC50,uM,0.2
339747,CHEMBL679946,CHEMBL1127568,CHEMBL67436,IC50,nM,20000.0,IC50,uM,20.0
340143,CHEMBL676067,CHEMBL1136802,CHEMBL55204,IC50,nM,5128.61,pIC50,,5.29
340148,CHEMBL677388,CHEMBL1135889,CHEMBL286160,IC50,nM,100.0,IC50,uM,0.1
340150,CHEMBL691873,CHEMBL1135889,CHEMBL286160,IC50,nM,100.0,IC50,uM,0.1
340163,CHEMBL677388,CHEMBL1135889,CHEMBL2448066,IC50,nM,100.0,IC50,uM,0.1
340165,CHEMBL691873,CHEMBL1135889,CHEMBL2448066,IC50,nM,70.0,IC50,uM,0.07
340430,CHEMBL677206,CHEMBL1129933,CHEMBL336409,IC50,nM,1300.0,IC50,uM,1.3
341113,CHEMBL679946,CHEMBL1127568,CHEMBL302545,IC50,nM,20000.0,IC50,uM,20.0
341376,CHEMBL676067,CHEMBL1136802,CHEMBL57251,IC50,nM,25118.86,pIC50,,4.6
