molecule_chembl_id,canonical_smiles,prediction,confidence,mean_probability_active,uncertainty_std
CHEMBL6168241,C=CC(=O)Nc1cccc(Nc2nc(Nc3cnn(C)c3)ncc2Cl)c1,Active,99.33,0.9933,0.0047
CHEMBL4521506,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCc1cn(CCCN2CCOCC2)nn1,Active,97.27,0.9727,0.0106
CHEMBL3806145,C#Cc1cccc(Nc2ncnc3cc(OC4CCOCC4)c4c(c23)OCCO4)c1,Active,98.47,0.9847,0.0083
CHEMBL76905,N#CC(C#N)=Cc1cc(O)cc(O)c1,Inactive,99.07,0.0093,0.0065
CHEMBL448154,CCn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccncc3)nc21,Active,85.67,0.8567,0.0087
CHEMBL1744347,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCCN1CCN(C)CC1.Cl,Active,99.27,0.9927,0.0044
CHEMBL5808792,C=CC(=O)N1CCC[C@@H](Nc2nc(Nc3ccc(OC)nc3)ncc2F)C1,Active,89.28,0.8928,0.0069
CHEMBL84513,O=C(O)CCCC1C(S)=Nc2ccccc21,Inactive,97.87,0.0213,0.0058
CHEMBL55360,Cc1cccc(C)c1NC(=O)/C(C#N)=C/c1ccc(O)c(O)c1,Inactive,96.73,0.0327,0.0077
CHEMBL325589,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccnc3)nc21,Active,75.73,0.7573,0.0226
CHEMBL4470236,COc1cc2c(Oc3ccc(NS(=O)(=O)c4ccccc4OC(F)(F)F)cc3F)ccnc2cc1OCCCN1CCN(C)CC1,Active,82.08,0.8208,0.0097
CHEMBL31965,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,Active,98.8,0.988,0.0034
CHEMBL94019,COc1cc2ncnc(NC3CCc4ccccc43)c2cc1OC,Active,62.74,0.6274,0.0189
CHEMBL542237,COc1cc2nc(Cl)nc(Nc3cc(OC)c(OC)c(OC)c3)c2cc1OC.Cl,Inactive,65.36,0.3464,0.01
CHEMBL424093,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1,Active,97.2,0.972,0.0169
CHEMBL66925,COc1ccc(-c2cnc3cc(OC)c(OC)cc3c2)cc1C,Inactive,98.57,0.0143,0.007
CHEMBL25425,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCC1CCN(C)CC1,Active,97.93,0.9793,0.0071
CHEMBL4476544,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCc1cn(CCCO)nn1,Active,98.67,0.9867,0.006
CHEMBL56219,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)Nc1ccccc1Cl,Inactive,93.93,0.0607,0.0129
CHEMBL314029,COC(=O)CCc1c(SSc2c(CCC(=O)OC)c3ccccc3n2C)n(C)c2ccccc12,Inactive,98.33,0.0167,0.0099
CHEMBL168656,COc1cccc(-c2cn(C3CCN(C(=O)OC(C)(C)C)C3)c3ncnc(N)c23)c1,Active,55.13,0.5513,0.026
CHEMBL5266919,C=CC(=O)N1CCCCCCCn2cc(c3ccccc32)-c2ccnc(n2)Nc2cc1c(OCCCF)cc2F,Active,83.3,0.833,0.0118
CHEMBL79531,O=C(O)CCCc1c(SSc2[nH]c3ccccc3c2CCCC(=O)O)[nH]c2ccccc12,Inactive,95.8,0.042,0.0088
CHEMBL3085277,C[C@H](Nc1ncnc2c1sc1ccccc12)c1ccccc1,Active,74.37,0.7437,0.0166
CHEMBL3699619,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C(=O)OC(C)(C)C)CC4)cc3OC)ncc2Cl)c1,Active,97.67,0.9767,0.0112
CHEMBL66008,COc1cc2cc([N+](=O)[O-])cnc2cc1OC,Inactive,96.87,0.0313,0.01
CHEMBL67702,COc1cc2cc(-c3ccc(Cl)c(Cl)c3)cnc2cc1OC,Inactive,96.4,0.036,0.0049
CHEMBL52823,Cc1cccc(Nc2ncnc3cnc(Cl)nc23)c1,Active,80.8,0.808,0.0185
CHEMBL77803,N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(Br)c1,Active,58.27,0.5827,0.0355
CHEMBL122522,COc1cc(C=C(C#N)C#N)cc(CSc2ccccc2)c1O,Inactive,65.13,0.3487,0.0262
CHEMBL137635,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,Inactive,75.73,0.2427,0.0173
CHEMBL54400,CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,Active,98.73,0.9873,0.0049
CHEMBL5853650,CC#CC(=O)N[C@@H](C)c1nc(-c2ccc(C(=O)Nc3ccc(C)cn3)c(OC)c2)c2c(N)nccn12,Active,97.22,0.9722,0.0049
CHEMBL118109,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2nc3ccccc3s2)c1O,Inactive,83.14,0.1686,0.0161
CHEMBL133283,COC(=O)c1ccc(NCc2cc(O)ccc2O)cc1O,Inactive,96.13,0.0387,0.0086
CHEMBL4216679,C=CC(=O)N[C@@H]1CN(c2nc(Nc3cn(C)nc3OC)c3ncn(C(C)C)c3n2)C[C@H]1F,Active,79.47,0.7947,0.0189
CHEMBL335648,CO[C@H]1[C@@H]([N+](C)(C)C)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,Active,58.93,0.5893,0.0155
CHEMBL5752925,C=CC(=O)Nc1cccc(Oc2nc(Nc3cccc(OC)c3)ncc2C(=O)Nc2ccccc2)c1,Active,90.3,0.903,0.0155
CHEMBL308672,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(Cl)cc4F)c32)[nH]1,Active,71.67,0.7167,0.0189
CHEMBL340484,CN1CCN(CCCNc2cc3ncnc(Nc4cccc(Br)c4)c3cn2)CC1,Active,99.13,0.9913,0.0069
CHEMBL4282264,CNC(=O)Nc1ccc2c(c1)CC[C@@]21OC(=O)N(CC(=O)N(Cc2ccc(F)cc2)[C@@H](C)C(F)(F)F)C1=O,Inactive,60.37,0.3963,0.0238
CHEMBL113985,COc1cc(NC(=O)/C=C/CN2CCOCC2)cc2c(Nc3cccc(Br)c3)c(C#N)cnc12,Inactive,64.05,0.3595,0.0171
CHEMBL334973,Cn1c([Se][Se]c2c(C(=O)OC(C)(C)C)c3ccccc3n2C)c(C(=O)OC(C)(C)C)c2ccccc21,Inactive,96.2,0.038,0.0075
CHEMBL5285159,O=C(Nc1cccc(-n2cc(CNc3ccc(N4CCC(O)CC4)c(C(=O)N4CCCC4)c3)nn2)c1)c1cc(F)cc(F)c1,Active,88.31,0.8831,0.0105
CHEMBL308645,Cc1cc(CCC(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,Active,70.27,0.7027,0.0174
CHEMBL2032380,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCCN(C)CC5)cc4OC)nc32)c1,Active,99.73,0.9973,0.0033
CHEMBL490775,C[C@H](NC(=O)[C@H](C)NC(=O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1)C(=O)O,Inactive,86.65,0.1335,0.0196
CHEMBL313821,COc1ccccc1-c1ccc2c(c1)NC(=O)/C2=C\c1[nH]c2c(c1CCC(=O)O)CCCC2,Inactive,97.33,0.0267,0.0107
CHEMBL168921,CC(C)(C)OC(=O)N1CCC(n2cc(-c3cccc(O)c3)c3c(N)ncnc32)C1,Inactive,76.53,0.2347,0.0256
CHEMBL57323,Cc1cccc(C)c1-c1cc2cnc(N)nc2nc1NC(=O)NC(C)(C)C,Inactive,65.6,0.344,0.0165
CHEMBL309598,N#CC(C#N)=C(O)c1cc(O)c(O)c(O)c1,Inactive,85.47,0.1453,0.0211
CHEMBL554,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,Active,92.67,0.9267,0.0125
CHEMBL116525,CC#CC(=O)Nc1cc2c(Nc3cccc(Br)c3)c(C#N)cnc2cc1OC,Active,89.13,0.8913,0.0131
CHEMBL120564,COc1cc(C=C(C#N)C#N)cc(C)c1O,Inactive,95.93,0.0407,0.0147
CHEMBL307250,COc1cc(/C=C(\C#N)C(=O)O)ccc1O,Inactive,97.73,0.0227,0.0071
CHEMBL308133,O=C(O)C(=Cc1ccc(O)cc1)C(=O)O,Inactive,98.73,0.0127,0.0102
CHEMBL141175,COc1cc(/C=C(/C#N)C(N)=O)cc(CSCc2ccc(Cl)cc2)c1O,Active,64.27,0.6427,0.0237
CHEMBL419248,COc1cc2cc(-c3ccccc3OC)cnc2cc1OC,Inactive,99.07,0.0093,0.0044
CHEMBL48172,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCCCN3CCOCC3)nc21,Active,53.8,0.538,0.0332
CHEMBL67059,COc1cc2cc(C#Cc3ccccc3)cnc2cc1OC,Inactive,92.8,0.072,0.0181
CHEMBL453502,COc1cc(/C=C/[N+](=O)[O-])ccc1OS(=O)(=O)c1ccc(C(=O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)cc1,Active,70.17,0.7017,0.0274
CHEMBL135142,O=C(/C=C/C(F)(F)F)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,Active,97.8,0.978,0.0062
CHEMBL332269,CCCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,Inactive,65.87,0.3413,0.0218
CHEMBL66031,Brc1cccc(Nc2ncnc3cc4[nH]cnc4cc23)c1,Active,98.33,0.9833,0.0042
CHEMBL4212326,C=CC(=O)N[C@H]1CCN(c2nc(Nc3cnn(C)c3)c3ncn(C(C)C)c3n2)C1,Active,89.3,0.893,0.014
CHEMBL5812367,N#CCC[C@@H](Nc1c(C#N)cnc2c(Cl)cc(N[C@H](C3=CN(C4CC4)NN3)c3csc4c3CCN(C3COC3)C4)cc12)c1ccccc1,Active,99.33,0.9933,0.003
CHEMBL4064475,C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4cnn(C5CCN(C)CC5)c4)nc32)c1,Active,95.73,0.9573,0.0057
CHEMBL335932,CO[C@H]1[C@@H](N(C)C(=O)C(F)(F)F)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,Inactive,85.8,0.142,0.0233
CHEMBL77030,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=S,Inactive,96.47,0.0353,0.0045
CHEMBL169467,COc1ccc(CC(CO)n2cc(-c3cccc(O)c3)c3c(N)ncnc32)cc1,Inactive,83.13,0.1687,0.0219
CHEMBL299026,CCN(CC)CCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(NC(=O)NC(C)(C)C)nc2n1,Active,75.75,0.7575,0.0278
CHEMBL354033,Nc1ncnc2c1c(-c1ccc(O)cc1)cn2C1CCNC1,Inactive,59.2,0.408,0.0294
CHEMBL3092320,O=C(Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1)N1CCC(F)(F)C1,Inactive,91.93,0.0807,0.012
CHEMBL281990,COc1cc2c(Nc3ccc(C)cc3F)ncnc2cc1OCC1CCN(C)CC1,Active,98.8,0.988,0.0045
